1,101,1,4.0,1727712001
1,102,2,3.5,1727712002
1,103,3,5.0,1727712003
1,104,4,2.5,1727712004
1,105,5,4.5,1727712005
2,101,1,3.0,1727712006
2,102,2,4.0,1727712007
2,103,3,2.0,1727712008
2,104,4,3.5,1727712009
2,105,5,4.0,1727712010
3,101,1,4.5,1727712011
3,102,2,3.0,1727712012
3,103,3,5.0,1727712013
3,104,4,2.0,1727712014
3,105,5,4.0,1727712015
4,106,6,3.5,1727712016
4,107,7,4.0,1727712017
4,108,8,2.5,1727712018
4,109,9,3.0,1727712019
4,110,10,4.5,1727712020
5,106,6,4.0,1727712021
5,107,7,3.5,1727712022
5,108,8,2.0,1727712023
5,109,9,4.5,1727712024
5,110,10,3.0,1727712025
